(0.6880521389146553+9.341655038638082e-17j),0j,(0.4863684664825135+0.00046843543184691116j),0j,(0.1403920213115202+0.00018599118313976853j),0j,(0.025631038265204107+3.978948559736886e-05j),0j,(0.003425015722573753+5.8882905375027936e-06j),0j,(0.0003610227713187407+6.682701343248291e-07j),0j,(3.142263238995531e-05+6.159208103176204e-08j),0j,(2.3291789328848935e-06+4.782162853098838e-09j),0j,(1.503467100394776e-07+3.208817463837677e-10j),0j,(8.594694128864421e-09+1.896164104225535e-11j),0j,(4.4089606279996426e-10+1.001189467898034e-12j),0j,(2.05122415840949e-11+4.7782092597277775e-14j),0j,(8.730552113538184e-13+2.0805983658221515e-15j),0j,(3.424390994348466e-14+8.330247767158548e-17j),0j,(1.245434583335861e-15+3.0868627629333385e-18j),0j,(4.2224051136139006e-17+1.0646241794957533e-19j),0j,(1.3406109994012714e-18+3.433964382056016e-21j),0j,(4.002258735340477e-20+1.0402801863172963e-22j),0j,(1.1275057953928927e-21+2.9708180981111253e-24j),0j,(3.00694226294668e-23+8.024306914054596e-26j),0j,(7.613105016280677e-25+2.056017227615044e-27j),0j,(1.8346124408057886e-26+5.010560910748222e-29j),0j,(4.217770128378993e-28+1.1642023543134189e-30j),0j,(9.270303316366681e-30+2.5792662032742093e-32j),0j,(2.0048853137303218e-31+5.0427149236101964e-33j),0j,(-4.027778335151926e-31-3.439442270828807e-31j),0j,(2.8385205986922645e-29+2.4000622309434592e-29j),0j,(-1.7989620529814805e-27-1.5208098021791425e-27j),0j,(1.0304738173038257e-25+8.709754893302269e-26j),0j,(-5.303941457652904e-24-4.4820636137377876e-24j),0j,(2.435362561376811e-22+2.0575331756816008e-22j),0j,(-9.885638937881987e-21-8.349966026021189e-21j),0j,(3.507112459152236e-19+2.9615442780514533e-19j),0j,(-1.0714600259373708e-17-9.045313994542591e-18j),0j,(2.764100796190901e-16+2.3327573077016933e-16j),0j,(-5.86010462927959e-15-4.9439671567908e-15j),0j,(9.813704086032002e-14+8.276385849502088e-14j),0j,(-1.2190143246470713e-12-1.027617837998999e-12j),0j,(1.000917817194963e-11+8.433422034980284e-12j),0j,(-4.096836183847119e-11-3.4497088047095434e-11j),0j
0j,(0.7983845660124547-9.681583308993899e-17j),0j,(0.32592525763235836+0.00012724197902207017j),0j,(0.0728775023322247+4.585692227118758e-05j),0j,(0.01124508231548665+9.014586784602091e-06j),0j,(0.001325231888478903+1.2412742214656276e-06j),0j,(0.0001263548788347303+1.3237061426256022e-07j),0j,(1.0116419866776501e-05+1.155109504154314e-08j),0j,(6.980954082630019e-07+8.542386816234516e-10j),0j,(4.232804849181684e-08+5.485880276240745e-11j),0j,(2.28882909019442e-09+3.1148546389793774e-12j),0j,(1.1168300519296108e-10+1.5855087965869074e-13j),0j,(4.964898416410696e-12+7.315071585296312e-15j),0j,(2.0269050699558875e-13+3.086600705062062e-16j),0j,(7.650038685372315e-15+1.2000195975779458e-17j),0j,(2.684630312345305e-16+4.325865424120227e-19j),0j,(8.803228386210314e-18+1.4536898694785204e-20j),0j,(2.7090001816484275e-19+4.575181968900503e-22j),0j,(7.852982671639475e-21+1.3541056407265628e-23j),0j,(2.151699736639088e-22+3.7823808357972437e-25j),0j,(5.589291410310735e-24+1.0003080905814975e-26j),0j,(1.3801746950128895e-25+2.5118826172008414e-28j),0j,(3.247689131222321e-27+6.0045889049408175e-30j),0j,(7.299058935635059e-29+1.3127178831211941e-31j),0j,(1.1794146940643084e-30+5.166193108571878e-31j),0j,(3.2373633240008626e-29-4.256296613779247e-29j),0j,(-2.4521925006232087e-27+3.227156017374358e-27j),0j,(1.6959464282685972e-25-2.2318643722874405e-25j),0j,(-1.065738442914066e-23+1.4024821147803756e-23j),0j,(6.05615249418055e-22-7.969576441804819e-22j),0j,(-3.0938226596787245e-20+4.0712367623400704e-20j),0j,(1.4105436231300507e-18-1.8561402607337184e-18j),0j,(-5.687593469747542e-17+7.48422803379073e-17j),0j,(2.0050993468976036e-15-2.638453647238145e-15j),0j,(-6.089394670859025e-14+8.012789882998057e-14j),0j,(1.5620778963457507e-12-2.055461529085866e-12j),0j,(-3.294076954984265e-11+4.33449420499833e-11j),0j,(5.488591969427906e-10-7.222118712213291e-10j),0j,(-6.784982274265421e-09+8.9279610381571e-09j),0j,(5.5457015711162e-08-7.297273724169038e-08j),0j,(-2.2601102647603833e-07+2.973952975699333e-07j)
(0.4863684664825132-0.0004684354318469204j),0j,(0.34402754428328175-5.710572694535782e-17j),0j,(0.09931752222639677+3.4938777805573485e-05j),0j,(0.018133151241984106+1.035846805263307e-05j),0j,(0.0024231635825463765+1.7724184001798615e-06j),0j,(0.00025542480603477227+2.1910365231007082e-07j),0j,(2.2231911160918062e-05+2.1391336275977774e-08j),0j,(1.6479396941704357e-06+1.732241830280637e-09j),0j,(1.0637403431121883e-07+1.200628561288854e-10j),0j,(6.0809956313725984e-09+7.281347967991678e-12j),0j,(3.119482609255625e-10+3.927705549930318e-13j),0j,(1.451313372196524e-11+1.9085823778471075e-14j),0j,(6.177193954345677e-13+8.439994410308704e-16j),0j,(2.4228923495717084e-14+3.424900569772686e-17j),0j,(8.811965123823882e-16+1.2842407590415214e-18j),0j,(2.987532842746138e-17+4.4760716842827286e-20j),0j,(9.485416339195073e-19+1.45746726809449e-21j),0j,(2.831780057460041e-20+4.4530994747526653e-23j),0j,(7.977628377055228e-22+1.281633134784413e-24j),0j,(2.1275545478158065e-23+3.486463758938145e-26j),0j,(5.386640286003931e-25+8.991816242319548e-28j),0j,(1.2980785694700566e-26+2.2046259315582457e-29j),0j,(2.984282981268417e-28+5.151292513505686e-31j),0j,(6.55920882676303e-30+1.1458439704917448e-32j),0j,(1.4184939149494003e-31+3.416468157328539e-33j),0j,(-2.844690783544081e-31-2.427041911427749e-31j),0j,(2.0046534812429187e-29+1.6934570432473772e-29j),0j,(-1.270388033159043e-27-1.0729803798327627e-27j),0j,(7.276374737048685e-26+6.1444812754353e-26j),0j,(-3.74486804591584e-24-3.1616691470760735e-24j),0j,(1.7193186691801545e-22+1.451243791769583e-22j),0j,(-6.978253191496075e-21-5.8888221609047754e-21j),0j,(2.475334084131909e-19+2.0883628242359346e-19j),0j,(-7.561244599547908e-18-6.377453736887696e-18j),0j,(1.9502605265352706e-16+1.6444414169094924e-16j),0j,(-4.133800657484796e-15-3.4844529350458702e-15j),0j,(6.920849461822482e-14+5.83160241555522e-14j),0j,(-8.593727806332515e-13-7.238226545489671e-13j),0j,(7.052694014813212e-12+5.937401480318044e-12j),0j,(-2.8844159678108976e-11-2.42681688989783e-11j),0j
0j,(0.325925257632358-0.00012724197902186856j),0j,(0.13307276051720718+6.608267796017853e-17j),0j,(0.029757234627503234+7.000077064815204e-06j),0j,(0.004591739689466461+1.8542130790637402e-06j),0j,(0.0005411484208588012+2.89653907849603e-07j),0j,(5.159687488573602e-05+3.3177547034855544e-08j),0j,(4.131076838736167e-06+3.033612469443728e-09j),0j,(2.850723364611113e-07+2.3193258731289742e-10j),0j,(1.7285088193234944e-08+1.5273078356712824e-11j),0j,(9.346719328056826e-10+8.844755999096319e-13j),0j,(4.560736539239461e-11+4.574725646895419e-14j),0j,(2.027495936644085e-12+2.1388860073944613e-15j),0j,(8.277220287914078e-14+9.127228509389396e-17j),0j,(3.124035888500586e-15+3.583059174571708e-18j),0j,(1.0963216458572295e-16+1.3025865920774797e-19j),0j,(3.594979780970542e-18+4.410002770827214e-21j),0j,(1.1062782924768413e-19+1.3971824626888552e-22j),0j,(3.2069395730453997e-21+4.159866099033502e-24j),0j,(8.786957122042356e-23+1.1682223349352704e-25j),0j,(2.2825180967562775e-24+3.104674899904096e-27j),0j,(5.636274227277475e-26+7.831093058219652e-29j),0j,(1.3262733244873774e-27+1.879711759465116e-30j),0j,(2.9807525649691837e-29+4.071462567436338e-32j),0j,(4.817174529846052e-31+2.1071963760400393e-31j),0j,(1.3214201384878826e-29-1.738359531314263e-29j),0j,(-1.0009076542483731e-27+1.3180372438209396e-27j),0j,(6.922160662409593e-26-9.115389828905074e-26j),0j,(-4.349809273234383e-24+5.7280141071778334e-24j),0j,(2.4717605787420015e-22-3.2549240365468926e-22j),0j,(-1.26268507738315e-20+1.662763231434539e-20j),0j,(5.756735038550566e-19-7.58076172120975e-19j),0j,(-2.3211780017794023e-17+3.056656500714574e-17j),0j,(8.182878567308947e-16-1.0775718459152924e-15j),0j,(-2.485048193519253e-14+3.272481813793733e-14j),0j,(6.374616618438607e-13-8.394583382090185e-13j),0j,(-1.3442376720762084e-11+1.770207299901057e-11j),0j,(2.2397239369115247e-10-2.9494826348625785e-10j),0j,(-2.768686695073168e-09+3.6461007148878517e-09j),0j,(2.2629424726192682e-08-2.9801067860407003e-08j),0j,(-9.222294804757924e-08+1.214506403116832e-07j)
(0.14039202131152004-0.00018599118313988882j),0j,(0.0993175222263968-3.493877780570368e-05j),0j,(0.028674571992729055-2.8725582762805005e-17j),0j,(0.005235610986239479+1.1345629549763535e-06j),0j,(0.0006996679096290029+2.6130223447076524e-07j),0j,(7.375355778558996e-05+3.660535487285268e-08j),0j,(6.419550752245245e-06+3.834728645380035e-09j),0j,(4.7585570616540946e-07+3.2508605045997786e-10j),0j,(3.0716694159689406e-08+2.3275441594496045e-11j),0j,(1.7559716831119043e-09+1.4464117868522983e-12j),0j,(9.008006420102411e-11+7.95268418783372e-14j),0j,(4.190927060242734e-12+3.924546541963899e-15j),0j,(1.7837850864191031e-13+1.757815082332219e-16j),0j,(6.996606908963493e-15+7.210560648936015e-18j),0j,(2.5446492669160626e-16+2.7289352325124537e-19j),0j,(8.627191587386394e-18+9.588392805179569e-21j),0j,(2.7391421316137615e-19+3.144333775155905e-22j),0j,(8.17746993042138e-21+9.667835474245258e-24j),0j,(2.3037448591924577e-22+2.7982235758035734e-25j),0j,(6.1438741851287445e-24+7.650966214379256e-27j),0j,(1.5555376384839857e-25+1.9823843168815964e-28j),0j,(3.748559316262952e-27+4.881019887165066e-30j),0j,(8.617954503561592e-29+1.1449242933887976e-31j),0j,(1.89415878304356e-30+2.5534093903823567e-33j),0j,(4.096144137037972e-32+9.68633146194308e-34j),0j,(-8.201478826939433e-32-6.993010055698464e-32j),0j,(5.7792866688377615e-30+4.87902337966661e-30j),0j,(-3.6621795872037905e-28-3.0911642898123044e-28j),0j,(2.0974111660196918e-26+1.770045655758664e-26j),0j,(-1.0793609590312185e-24-9.107127289258972e-25j),0j,(4.9550026826449186e-23+4.1799126181991314e-23j),0j,(-2.0108804673853228e-21-1.6959469594863027e-21j),0j,(7.132121462787814e-20+6.01368445812013e-20j),0j,(-2.1782867576742135e-18-1.8362206707108784e-18j),0j,(5.61745969466647e-17+4.733998640946245e-17j),0j,(-1.190438252079112e-15-1.0029090810486556e-15j),0j,(1.9925265626685256e-14+1.6780703632228706e-14j),0j,(-2.4733080908690954e-13-2.0821645176819768e-13j),0j,(2.0288104093163207e-12+1.7071774143470528e-12j),0j,(-8.290923017453106e-12-6.9724967869057024e-12j),0j
0j,(0.07287750233222463-4.585692227115418e-05j),0j,(0.02975723462750323-7.000077064737259e-06j),0j,(0.0066544799898518555+2.3302632476579763e-17j),0j,(0.0010268597130861058+1.7173876424078896e-07j),0j,(0.00012102053623661928+3.592750032943084e-08j),0j,(1.1539120153307125e-05+4.646303241736923e-09j),0j,(9.238845780275017e-07+4.5455191073003417e-10j),0j,(6.375490984971335e-08+3.629734623335549e-11j),0j,(3.865747887384699e-09+2.464357698720425e-12j),0j,(2.090373707585858e-10+1.4599660618925697e-13j),0j,(1.02000450949997e-11+7.686004229962635e-15j),0j,(4.534497166141379e-13+3.6449030238021904e-16j),0j,(1.8512088628741643e-14+1.573653690637978e-17j),0j,(6.986963378813124e-16+6.238545051013684e-19j),0j,(2.4519511081827e-17+2.2870310302824673e-20j),0j,(8.040285742145099e-19+7.799228640120691e-22j),0j,(2.4742325108698927e-20+2.4866927461586164e-23j),0j,(7.172455703744157e-22+7.445369932982237e-25j),0j,(1.9652440605452137e-23+2.1013943897629048e-26j),0j,(5.104967978410086e-25+5.609880206960713e-28j),0j,(1.2605835808212818e-26+1.420788530453185e-29j),0j,(2.9662875111574686e-28+3.423028556975971e-31j),0j,(6.666636095980092e-30+7.344425078424081e-33j),0j,(1.0775304940082214e-31+4.7092000760301024e-32j),0j,(2.954265756695641e-30-3.8880506052982135e-30j),0j,(-2.2376811969063203e-28+2.9479443899766588e-28j),0j,(1.5475390366558594e-26-2.0387599031288792e-26j),0j,(-9.724469121625167e-25+1.2811323579501402e-24j),0j,(5.525834345656544e-23-7.279972125098577e-23j),0j,(-2.8228143445733497e-21+3.718930503217976e-21j),0j,(1.2869431487699316e-19-1.695505264149037e-19j),0j,(-5.189045480782445e-18+6.836462495303764e-18j),0j,(1.829283910955475e-16-2.4100685540396164e-16j),0j,(-5.555279049051096e-15+7.319115903338829e-15j),0j,(1.4250210443188125e-13-1.8774942578019954e-13j),0j,(-3.004965659094669e-12+3.959146332259739e-12j),0j,(5.0067314446322284e-11-6.596614433001142e-11j),0j,(-6.189137005589452e-10+8.154580599314261e-10j),0j,(5.0585542405523006e-09-6.665034442222108e-09j),0j,(-2.0615253141263524e-08+2.7162384483600205e-08j)
(0.02563103826520405-3.978948559737184e-05j),0j,(0.01813315124198413-1.035846805266074e-05j),0j,(0.005235610986239477-1.1345629549919978e-06j),0j,(0.0009559925626242611-2.459358094547761e-18j),0j,(0.00012775898225565163+1.986769706585908e-08j),0j,(1.3467651829324957e-05+3.7242711445945823e-09j),0j,(1.1722518900749245e-06+4.401701392297851e-10j),0j,(8.68955521532737e-08+3.989735147514877e-11j),0j,(5.609209245756326e-09+2.9816706036659313e-12j),0j,(3.2066294542111413e-10+1.9092773549385155e-13j),0j,(1.6449906684866853e-11+1.0733576379120155e-14j),0j,(7.653284321245731e-13+5.388810889431564e-16j),0j,(3.257488382993002e-14+2.44709799153379e-17j),0j,(1.2777035560555996e-15+1.015188816293708e-18j),0j,(4.646998992815832e-17+3.878571172453685e-20j),0j,(1.575490858422049e-18+1.3737713831254034e-21j),0j,(5.002218117432686e-20+4.536381533750069e-23j),0j,(1.4933735892021886e-21+1.4032695533873438e-24j),0j,(4.2071229830221224e-23+4.0833406798961046e-26j),0j,(1.1220038377407379e-24+1.1218010981065813e-27j),0j,(2.840754156726253e-26+2.919046996846771e-29j),0j,(6.845710397878688e-28+7.215027801492434e-31j),0j,(1.5738352268452264e-29+1.6983437206479187e-32j),0j,(3.4591732243818475e-31+3.796132249493535e-34j),0j,(7.48023580083091e-33+1.7473641641930805e-34j),0j,(-1.49549718430576e-32-1.2745420681118196e-32j),0j,(1.0537716890289832e-30+8.891970088159837e-31j),0j,(-6.677007249270792e-29-5.633279771049538e-29j),0j,(3.823779216492891e-27+3.225486574579549e-27j),0j,(-1.9676122002420778e-25-1.659436272167049e-25j),0j,(9.031836953281308e-24+7.615719547548187e-24j),0j,(-3.6649892665107763e-22-3.089696373410298e-22j),0j,(1.2997295239985832e-20+1.0954635106424871e-20j),0j,(-3.9690702771978897e-19-3.344475445608376e-19j),0j,(1.0233922484853685e-17+8.621176774993302e-18j),0j,(-2.1683138030815405e-16-1.8260829181943161e-16j),0j,(3.628357850450862e-15+3.0546950522153496e-15j),0j,(-4.502355200552488e-14-3.789108521516356e-14j),0j,(3.691447178008067e-13+3.105302869712959e-13j),0j,(-1.5073716523111673e-12-1.2673209276059942e-12j),0j
0j,(0.011245082315486654-9.014586784577884e-06j),0j,(0.004591739689466446-1.854213079041326e-06j),0j,(0.0010268597130861042-1.7173876422903391e-07j),0j,(0.00015845921229614744+1.579918752449081e-18j),0j,(1.867552134192666e-05+2.4078792348412088e-09j),0j,(1.7807056736955545e-06+4.1608700228801945e-10j),0j,(1.425745007898816e-07+4.5876218042065135e-11j),0j,(9.838789293395579e-09+3.913592432038704e-12j),0j,(5.965746740151083e-10+2.771549486170688e-13j),0j,(3.22595271834553e-11+1.6909288142826914e-14j),0j,(1.5741225846345624e-12+9.09744403053334e-16j),0j,(6.997899134509866e-14+4.387189623519027e-17j),0j,(2.8569049860543617e-15+1.9196148999780923e-18j),0j,(1.0782773095633093e-16+7.693689540814585e-20j),0j,(3.784035947463867e-18+2.846328241918231e-21j),0j,(1.2408412724842716e-19+9.781993291156871e-23j),0j,(3.8184440333482095e-21+3.13973426608001e-24j),0j,(1.106916496517989e-22+9.455390159606327e-26j),0j,(3.0329443934799625e-24+2.68238543614153e-27j),0j,(7.878469647677507e-26+7.193485025548317e-29j),0j,(1.9454555231609688e-27+1.8292815040999426e-30j),0j,(4.57787211720535e-29+4.423378296826902e-32j),0j,(1.0288637146974873e-30+9.394175298264411e-34j),0j,(1.6631369387607855e-32+7.263512597106595e-33j),0j,(4.557827234313848e-31-6.00041886910045e-31j),0j,(-3.4522641978946006e-29+4.5495483550933076e-29j),0j,(2.387509389721345e-27-3.146403530144059e-27j),0j,(-1.5002618128587464e-25+1.9771590601825534e-25j),0j,(8.525045649134524e-24-1.123508933389456e-23j),0j,(-4.354907059866214e-22+5.739367241620527e-22j),0j,(1.9854259342791423e-20-2.6166411510572785e-20j),0j,(-8.005336506803739e-19+1.055055894370104e-18j),0j,(2.822091266563303e-17-3.7193956004155156e-17j),0j,(-8.57025386056898e-16+1.1295370569412302e-15j),0j,(2.198401436986714e-14-2.897472333750749e-14j),0j,(-4.63578407755278e-13+6.109997002708055e-13j),0j,(7.723888641437077e-12-1.018026893267249e-11j),0j,(-9.547944470550325e-11+1.2584571542574952e-10j),0j,(7.803767960832551e-10-1.0285793680921878e-09j),0j,(-3.180276168084652e-09+4.191812716967534e-09j)
(0.0034250157225737456-5.8882905375006065e-06j),0j,(0.0024231635825463864-1.7724184001861448e-06j),0j,(0.0006996679096290033-2.6130223447327584e-07j),0j,(0.0001277589822556517-1.98676970669361e-08j),0j,(1.7074116157849e-05-1.5854002866262207e-19j),0j,(1.7998927368396473e-06+2.1653848390016283e-10j),0j,(1.566686887752032e-07+3.4174281658469294e-11j),0j,(1.1613530002275554e-08+3.4888796465093687e-12j),0j,(7.496748275210975e-10+2.7838971317516333e-13j),0j,(4.285721924499391e-11+1.858464561039928e-14j),0j,(2.1985788382676348e-12+1.0754352619476978e-15j),0j,(1.0228911371222451e-13+5.5153839755233833e-17j),0j,(4.353785744424823e-15+2.545874941973959e-18j),0j,(1.7077197323922923e-16+1.0699694773679656e-19j),0j,(6.210994439054453e-18+4.1313206054430864e-21j),0j,(2.1057475755111832e-19+1.4762164868553334e-22j),0j,(6.68582072888763e-21+4.91105139606993e-24j),0j,(1.9960071636917644e-22+1.5288903886671899e-25j),0j,(5.6231572639308716e-24+4.47359321382314e-27j),0j,(1.4996525165920446e-25+1.235001844670636e-28j),0j,(3.796917165735682e-27+3.227468165941955e-30j),0j,(9.149915374054627e-29+8.00805808156375e-32j),0j,(2.10357896272643e-30+1.8915355966629953e-33j),0j,(4.623520657426878e-32+4.236859959533584e-35j),0j,(9.997720883266902e-34+2.3138899408590471e-35j),0j,(-1.9960134370683523e-33-1.70048739227549e-33j),0j,(1.406384918806987e-31+1.186298871110717e-31j),0j,(-8.910680339527877e-30-7.515071193597216e-30j),0j,(5.102586330459634e-28+4.302690648619792e-28j),0j,(-2.6254408759991517e-26-2.2134794401457685e-26j),0j,(1.2050357778720385e-24+1.0157623714000975e-24j),0j,(-4.8893672499465583e-23-4.12058195829314e-23j),0j,(1.733734993581825e-21+1.4608185892034423e-21j),0j,(-5.2937098044109743e-20-4.4593774808035e-20j),0j,(1.3647219674523374e-18+1.1493444289454705e-18j),0j,(-2.8909447239390295e-17-2.434035825973393e-17j),0j,(4.83638884848773e-16+4.070761325720862e-16j),0j,(-5.999421088560667e-15-5.047913956754371e-15j),0j,(4.9165794036488907e-14+4.1350929009489225e-14j),0j,(-2.0060973799653388e-13-1.6863357314722453e-13j),0j
0j,(0.0013252318884789038-1.2412742214584228e-06j),0j,(0.000541148420858795-2.896539078460541e-07j),0j,(0.0001210205362366188-3.5927500327929793e-08j),0j,(1.867552134192671e-05-2.4078792344566724e-09j),0j,(2.2010705322192102e-06+1.874147640078234e-20j),0j,(2.0987384923968176e-07+2.1891187658985806e-11j),0j,(1.6803981979912836e-08+3.2217445462217723e-12j),0j,(1.1596195870357811e-09+3.094779866820055e-13j),0j,(7.031398813913452e-11+2.3396323491756655e-14j),0j,(3.802222705893203e-12+1.4879239982340735e-15j),0j,(1.8553267650603705e-13+8.239116456182947e-17j),0j,(8.248055491924134e-15+4.058357925965778e-18j),0j,(3.3672976162306943e-16+1.8048724951131387e-19j),0j,(1.2709187650542726e-17+7.327835918345207e-21j),0j,(4.460094260383605e-19+2.739627873615474e-22j),0j,(1.4625352211277167e-20+9.497903466852123e-24j),0j,(4.5006758235857315e-22+3.071141516038191e-25j),0j,(1.304689774069516e-23+9.307552002624471e-27j),0j,(3.5748502273730213e-25+2.6549895043611363e-28j),0j,(9.286160679858969e-27+7.154394127394952e-30j),0j,(2.2930656468556906e-28+1.827111707547422e-31j),0j,(5.395847028394887e-30+4.434973570939702e-33j),0j,(1.2127032773398506e-31+9.312637342503871e-35j),0j,(1.960492692764367e-33+8.557440902856976e-34j),0j,(5.370730068210747e-32-7.07247617757603e-32j),0j,(-4.067971401534015e-30+5.36238111394969e-30j),0j,(2.813309351297158e-28-3.708542744001147e-28j),0j,(-1.767819846792814e-26+2.3303970273599265e-26j),0j,(1.0045376713773959e-24-1.3242325002020849e-24j),0j,(-5.131531366080655e-23+6.764739782841874e-23j),0j,(2.339485668238922e-21-3.084115124384911e-21j),0j,(-9.432893130375349e-20+1.2435440696020376e-19j),0j,(3.325332090047262e-18-4.383866802535778e-18j),0j,(-1.0098487389270859e-16+1.3313268542170304e-16j),0j,(2.5904090009330067e-15-3.4150943449689998e-15j),0j,(-5.4623971224536423e-14+7.201510090642164e-14j),0j,(9.10111992331301e-13-1.1998887067968598e-12j),0j,(-1.125038836665892e-11+1.4832667441017997e-11j),0j,(9.195192230718922e-11-1.2123212566305876e-10j),0j,(-3.7473148152692804e-10+4.940613136441552e-10j)
