(0.015823628571856475+5.119219074020224e-17j),0j,(0.054130069965692515+1.3870147075274703e-05j),0j,(0.07562120239085174+3.274030027472163e-05j),0j,(0.06681955978383544+3.805918018286819e-05j),0j,(0.04321551034545456+2.944604137732895e-05j),0j,(0.02204718311974971+1.7111552454604642e-05j),0j,(0.009287601307031745+7.972732031599289e-06j),0j,(0.0033320155033504627+3.1027433553573575e-06j),0j,(0.0010409783839021003+1.0372534698696393e-06j),0j,(0.0002880196774235807+3.0401736369028697e-07j),0j,(7.15108846486538e-05+7.934920149685435e-08j),0j,(1.6102504695709574e-05+1.8669594951440853e-08j),0j,(3.317160971880141e-06+3.9991773921964544e-09j),0j,(6.297277411986397e-07+7.863079444266763e-10j),0j,(1.1084985632780172e-07+1.428806939238177e-10j),0j,(1.8189422994747454e-08+2.4134796951358043e-11j),0j,(2.79516001783448e-09+3.808755639129223e-12j),0j,(4.0388152245901885e-10+5.640142902918443e-13j),0j,(5.506968312964776e-11+7.867420734989788e-14j),0j,(7.108269636792181e-12+1.0372582227385346e-14j),0j,(8.710551792749679e-13+1.2964951427121461e-15j),0j,(1.0159521465126787e-13+1.540517313585403e-16j),0j,(1.1304644777514009e-14+1.744379131297084e-17j),0j,(1.2025857370791258e-15+1.886520314814285e-18j),0j,(1.2254366934592902e-16+1.9526553512715318e-19j),0j,(1.1982548785064553e-17+1.9262236769409212e-20j),0j,(1.1274852606658482e-18+3.6359465380746686e-21j),0j,(8.34736594865273e-20-2.5171956282309615e-20j),0j,(2.4570322000877634e-19+3.2588062188048485e-19j),0j,(-2.7500585217934057e-18-3.784552047269076e-18j),0j,(2.86764492802555e-17+3.9446227673487073e-17j),0j,(-2.661833361888016e-16-3.660871274371779e-16j),0j,(2.1782624532555264e-15+2.995242779895133e-15j),0j,(-1.551551042680941e-14-2.1330509789860624e-14j),0j,(9.458747335324545e-14+1.3000992943912903e-13j),0j,(-4.822719830062081e-13-6.627292141993683e-13j),0j,(1.988973607197755e-12+2.732539725946505e-12j),0j,(-6.2941924002798456e-12-8.644926031972777e-12j),0j,(1.3877762825970165e-11+1.9055145674990843e-11j),0j,(-1.6751213381080935e-11-2.2992906944464484e-11j),0j
0j,(0.07654851491087886+1.5549593715657936e-17j),0j,(0.1512380047004504+3.093316400974393e-05j),0j,(0.16366996222964447+5.833897051919616e-05j),0j,(0.1222294764471565+5.842875101412443e-05j),0j,(0.06971809884385509+4.040926423324288e-05j),0j,(0.032172695637790814+2.145726676576155e-05j),0j,(0.012467085782261049+9.270154558338864e-06j),0j,(0.004163860236403054+3.3804675000505017e-06j),0j,(0.0012219495729083737+1.0673208739178974e-06j),0j,(0.00031980288755653873+2.9727828930960723e-07j),0j,(7.552666592451465e-05+7.409857929229707e-08j),0j,(1.6250546476651056e-05+1.671736948366829e-08j),0j,(3.210964699781883e-06+3.445430416706487e-09j),0j,(5.865572177059432e-07+6.536665889338244e-10j),0j,(9.962674959643063e-08+1.1489558814750933e-10j),0j,(1.5811687964779033e-08+1.8813695197747744e-11j),0j,(2.3549959066595444e-09+2.8835927824074588e-12j),0j,(3.30415696418881e-10+4.154189168616408e-13j),0j,(4.381801011099535e-11+5.64572508333818e-14j),0j,(5.5089994536406365e-12+7.261803475113456e-15j),0j,(6.584079428646775e-13+8.865861355289531e-16j),0j,(7.498605607267612e-14+1.0301071698870009e-16j),0j,(8.156283426582518e-15+1.1416926051486962e-17j),0j,(8.489995589013105e-16+1.211926043323352e-18j),0j,(8.478079332494884e-17+8.130473089294878e-20j),0j,(7.258072886441492e-18+7.096279216157629e-19j),0j,(1.403870558549914e-17-1.0743871904276707e-17j),0j,(-1.8662431729065537e-16+1.5094004307930063e-16j),0j,(2.3820384044155427e-15-1.9258787291929463e-15j),0j,(-2.7463685548767185e-14+2.2204449806200292e-14j),0j,(2.8430885899322613e-13-2.2986431583910373e-13j),0j,(-2.621824448340514e-12+2.1197505239750534e-12j),0j,(2.132401636036967e-11-1.7240511008621666e-11j),0j,(-1.5101917103563495e-10+1.2209930645725122e-10j),0j,(9.15740717799711e-10-7.403781963928878e-10j),0j,(-4.645874251965129e-09+3.756198164058963e-09j),0j,(1.9072498826171466e-08-1.5420147155422194e-08j),0j,(-6.010352086383268e-08+4.85937653790622e-08j),0j,(1.3202832524000367e-07-1.06744897400733e-07j),0j,(-1.5887539125456047e-07+1.2845028068054433e-07j)
(0.054130069965692564-1.3870147075148045e-05j),0j,(0.1852395834602323+5.4023805616475396e-17j),0j,(0.2588034322209763+4.491311053614896e-05j),0j,(0.2286879033065377+7.039115325891299e-05j),0j,(0.14790622239836237+6.179750224938132e-05j),0j,(0.07545785790840752+3.8571688865442066e-05j),0j,(0.031787624586584635+1.8828386887648325e-05j),0j,(0.011404173838189252+7.573753826293175e-06j),0j,(0.003562872546635781+2.5956502758373506e-06j),0j,(0.0009857848148326792+7.757429142001068e-07j),0j,(0.00024475593935685525+2.0568248053205617e-07j),0j,(5.511317773769557e-05+4.902851064349531e-08j),0j,(1.1353489068382756e-05+1.0618456376963225e-08j),0j,(2.155342490005799e-06+2.1075610316591874e-09j),0j,(3.79401614159443e-07+3.861191267100506e-10j),0j,(6.225632252031045e-08+6.569317551535752e-11j),0j,(9.566909311008114e-09+1.0433641308123605e-11j),0j,(1.382354266482083e-09+1.5539130590028342e-12j),0j,(1.8848565333681353e-10+2.1787500532420809e-13j),0j,(2.4329317665742653e-11+2.885972218538863e-14j),0j,(2.9813432918759104e-12+3.622663806096697e-15j),0j,(3.4772813311083695e-13+4.321370652892427e-16j),0j,(3.8692227431628577e-14+4.9108817486378186e-17j),0j,(4.11607306837303e-15+5.328759837786492e-18j),0j,(4.1942866233938263e-16+5.532682854834446e-19j),0j,(4.101253521768837e-17+5.466854402509399e-20j),0j,(3.859028270945874e-18+1.1376580611205028e-20j),0j,(2.857692797841308e-19-8.612085154351239e-20j),0j,(8.4009116391365215e-19+1.1136437582902774e-18j),0j,(-9.401892678738328e-18-1.293250423545683e-17j),0j,(9.803277298739133e-17+1.3478713157040383e-16j),0j,(-9.099053874735016e-16-1.2508333827415043e-15j),0j,(7.44545847982591e-15+1.0233299480466646e-14j),0j,(-5.302842464331139e-14-7.287008771438937e-14j),0j,(3.232451781376557e-13+4.44102844993887e-13j),0j,(-1.6479303754020757e-12-2.263575448621622e-12j),0j,(6.795387381456816e-12+9.331842174946653e-12j),0j,(-2.1500533731942282e-11-2.951821677824124e-11j),0j,(4.739478874438582e-11+6.504997693877658e-11j),0j,(-5.719011173738455e-11-7.846872530375922e-11j),0j
0j,(0.15123800470045015-3.093316400959934e-05j),0j,(0.2988255409627622+1.032485918303092e-16j),0j,(0.3233995056621152+4.873826502491181e-05j),0j,(0.24152035742421155+6.5468096276698e-05j),0j,(0.13776154168892754+5.118696969283906e-05j),0j,(0.06357305960716483+2.9112704211592324e-05j),0j,(0.024635021540022204+1.3148585772827622e-05j),0j,(0.008227841564050401+4.9472767792530305e-06j),0j,(0.002414595904479773+1.5990001537991102e-06j),0j,(0.0006319383126774685+4.535655530198464e-07j),0j,(0.00014924285570868946+1.1472601885464763e-07j),0j,(3.211160319797875e-05+2.6198575671387195e-08j),0j,(6.344979374828182e-06+5.454764415096716e-09j),0j,(1.1590592569059994e-06+1.043926814543118e-09j),0j,(1.9686645313167893e-07+1.8488168638344838e-10j),0j,(3.124456114869983e-08+3.047452289236778e-11j),0j,(4.653575226567255e-09+4.69828366388064e-12j),0j,(6.529164324727241e-10+6.803953447229034e-13j),0j,(8.658644137888102e-11+9.290437403805723e-14j),0j,(1.0886048122291605e-11+1.2000764989954998e-14j),0j,(1.3010465542112119e-12+1.4708489230211012e-15j),0j,(1.4817622285330548e-13+1.7150219253223118e-16j),0j,(1.6117234672056008e-14+1.907005254757363e-17j),0j,(1.6776674595380186e-15+2.0311076641360696e-18j),0j,(1.6753133518050312e-16+1.243093663312408e-19j),0j,(1.4342500251092253e-17+1.3990407600931091e-18j),0j,(2.7738701093221606e-17-2.1234906079957457e-17j),0j,(-3.687425015132466e-16+2.9832404021464713e-16j),0j,(4.706541207389778e-15-3.806392572646902e-15j),0j,(-5.426377521460992e-14+4.3885939069482523e-14j),0j,(5.617455238775113e-13-4.543155417114171e-13j),0j,(-5.180251473033236e-12+4.189588437094717e-12j),0j,(4.213220776396206e-11-3.407510726545359e-11j),0j,(-2.9838380294877815e-10+2.4132409784288043e-10j),0j,(1.809312671966068e-09-1.4633271148112116e-09j),0j,(-9.179234840358828e-09+7.423975120514143e-09j),0j,(3.768292131517339e-08-3.047731119206072e-08j),0j,(-1.1875033406619022e-07+9.604366228526225e-08j),0j,(2.608555315490609e-07-2.1097705454784506e-07j),0j,(-3.138973713801283e-07+2.538768038666233e-07j)
(0.07562120239085167-3.2740300274571424e-05j),0j,(0.25880343222097635-4.491311053599948e-05j),0j,(0.36159300553747664+2.0357606837570654e-17j),0j,(0.3195220048480945+4.2694657742255546e-05j),0j,(0.20665638127044447+5.0189321675903765e-05j),0j,(0.1054314423542478+3.5367957223523694e-05j),0j,(0.04441464142946588+1.8471990881512292e-05j),0j,(0.01593432789604505+7.760759104090944e-06j),0j,(0.004978192125206814+2.742239171870106e-06j),0j,(0.0013773828102000103+8.384102395034327e-07j),0j,(0.00034198474798371336+2.2626217380805007e-07j),0j,(7.700692099943644e-05+5.470421600016183e-08j),0j,(1.5863694621343633e-05+1.1986647845994629e-08j),0j,(3.0115624852996886e-06+2.4025142715790067e-09j),0j,(5.301213296824407e-07+4.4384561122651106e-10j),0j,(8.698813534642103e-08+7.606160595847176e-11j),0j,(1.3367451508126628e-08+1.215691812382785e-11j),0j,(1.9315087333276202e-09+1.8206960603331954e-12j),0j,(2.63363715292533e-10+2.565533917098081e-13j),0j,(3.3994437599195205e-11+3.413514772966535e-14j),0j,(4.165721022974358e-12+4.302201196109918e-15j),0j,(4.858679645282846e-13+5.150842313384692e-16j),0j,(5.406327969901848e-14+5.873180459226065e-17j),0j,(5.751245871699591e-15+6.392611060983307e-18j),0j,(5.860533473877345e-16+6.65618218219472e-19j),0j,(5.730543815175467e-17+6.586827690251781e-20j),0j,(5.3920866398051394e-18+1.4894798376010918e-20j),0j,(3.9938434155129006e-19-1.2025491801646602e-19j),0j,(1.1726381590399096e-18+1.553811623184094e-18j),0j,(-1.3122343951234237e-17-1.8043267321262937e-17j),0j,(1.3681710708762964e-16+1.8804293132788928e-16j),0j,(-1.2697999861192582e-15-1.7449434845993435e-15j),0j,(1.0389555699233582e-14+1.4274718844602544e-14j),0j,(-7.399056298744351e-14-1.016405393374218e-13j),0j,(4.509788508912855e-13+6.193863691966631e-13j),0j,(-2.2988582747657423e-12-3.156649689011304e-12j),0j,(9.478220967688516e-12+1.301194996166435e-11j),0j,(-2.998381100491915e-11-4.1152348019454163e-11j),0j,(6.608015307238179e-11+9.066908166437928e-11j),0j,(-7.971237231286706e-11-1.0933968904462817e-10j),0j
0j,(0.16366996222964425-5.83389705191467e-05j),0j,(0.32339950566211506-4.8738265024851965e-05j),0j,(0.35000051164287277-7.97271781160888e-18j),0j,(0.2613894075496819+3.135949279085588e-05j),0j,(0.14909587953382272+3.2794019901044054e-05j),0j,(0.06880393196245042+2.1039197542365962e-05j),0j,(0.026662139730615667+1.0159328033084708e-05j),0j,(0.008904908912096854+3.990026896082865e-06j),0j,(0.0026132998353789755+1.328906728971617e-06j),0j,(0.000683943892788378+3.8544853063131543e-07j),0j,(0.0001615251627792149+9.919487412800845e-08j),0j,(3.475436416612068e-05+2.2967160424330387e-08j),0j,(6.867176287098263e-06+4.836498900149561e-09j),0j,(1.254452334843936e-06+9.344358223323757e-10j),0j,(2.1306922120088093e-07+1.6683399657559155e-10j),0j,(3.381612605997593e-08+2.76922671093203e-11j),0j,(5.036589331126633e-09+4.295443628482227e-12j),0j,(7.066554952909364e-10+6.254110023595402e-13j),0j,(9.371310744734969e-11+8.580620484643946e-14j),0j,(1.1782053109170119e-11+1.1131538829800249e-14j),0j,(1.4081334551218056e-12+1.3696099512061955e-15j),0j,(1.6037243834715161e-13+1.602605396016547e-16j),0j,(1.7443834412985865e-14+1.7877353707137226e-17j),0j,(1.8157560681007125e-15+1.910335390410786e-18j),0j,(1.8132088567817792e-16+1.057505597734612e-19j),0j,(1.552321399454386e-17+1.5116609633980311e-18j),0j,(3.0019173407034666e-17-2.2986516038529685e-17j),0j,(-3.9905463597610315e-16+3.2292853582616887e-16j),0j,(5.093423949895027e-15-4.120329568509766e-15j),0j,(-5.872414949539786e-14+4.7505501296070245e-14j),0j,(6.079181519141766e-13-4.91786033727037e-13j),0j,(-5.606025724102459e-12+4.535132728390869e-12j),0j,(4.559499878851101e-11-3.6885516426295294e-11j),0j,(-3.229066453471505e-10+2.61227731677276e-10j),0j,(1.958006422421218e-09-1.5840172759975056e-09j),0j,(-9.93357841719981e-09+8.036276354335094e-09j),0j,(4.077956392698468e-08-3.2990950101048e-08j),0j,(-1.2850843871702464e-07+1.0396488160978586e-07j),0j,(2.82290126811984e-07-2.2837729201990507e-07j),0j,(-3.3968957095048317e-07+2.7481500025943125e-07j)
(0.06681955978383551-3.805918018267207e-05j),0j,(0.22868790330653785-7.039115325884081e-05j),0j,(0.3195220048480946-4.269465774227845e-05j),0j,(0.2823491205311598-2.7228460915452022e-17j),0j,(0.18261561957093242+1.990129663396784e-05j),0j,(0.09316692917096857+1.874515155755368e-05j),0j,(0.039248199432496876+1.1037408720226573e-05j),0j,(0.014080849823671008+4.955606079360119e-06j),0j,(0.004399142393277745+1.8270464439379412e-06j),0j,(0.0012171722967378971+5.754232359384357e-07j),0j,(0.0003022073401991077+1.5874173720141692e-07j),0j,(6.805010082661775e-05+3.903763970225122e-08j),0j,(1.4018579098508586e-05+8.670767154349956e-09j),0j,(2.661289335596914e-06+1.75734126071724e-09j),0j,(4.6846374549387096e-07+3.276875288817e-10j),0j,(7.687075849443946e-08+5.660120045167992e-11j),0j,(1.181272659993338e-08+9.108396473512415e-12j),0j,(1.706862599309093e-09+1.3722587721366002e-12j),0j,(2.327330941663899e-10+1.943790968008179e-13j),0j,(3.004072100845495e-11+2.5983288165319716e-14j),0j,(3.681229860861612e-12+3.288461826132855e-15j),0j,(4.293596814338568e-13+3.951958345730855e-16j),0j,(4.777554003059218e-14+4.5215574801739705e-17j),0j,(5.0823591957017574e-15+4.9367764049709385e-18j),0j,(5.178938588529366e-16+5.155028655813139e-19j),0j,(5.06406913855029e-17+5.1088546708088793e-20j),0j,(4.764971933355313e-18+1.248293053161394e-20j),0j,(3.530112541819204e-19-1.0619148848048291e-19j),0j,(1.0352316567049735e-18+1.3712573023219465e-18j),0j,(-1.1583627941280583e-17-1.5922695411648525e-17j),0j,(1.2076674053896233e-16+1.6593398013708456e-16j),0j,(-1.1207610977813771e-15-1.5396922486127818e-15j),0j,(9.169423421192477e-15+1.2594793640117643e-14j),0j,(-6.529567087877999e-14-8.967207993712353e-14j),0j,(3.979437867406415e-13+5.464033946691742e-13j),0j,(-2.028280445850391e-12-2.784405902075022e-12j),0j,(8.361476774990369e-12+1.1476071698554802e-11j),0j,(-2.6446553279739077e-11-3.62890951157635e-11j),0j,(5.827163838267939e-11+7.993729119122228e-11j),0j,(-7.02711677957909e-11-9.63691788122992e-11j),0j
0j,(0.12222947644715643-5.8428751014076825e-05j),0j,(0.24152035742421135-6.546809627662192e-05j),0j,(0.2613894075496818-3.135949279093071e-05j),0j,(0.1952139119249879-6.539351791682084e-17j),0j,(0.11135020062089526+1.1111773952641078e-05j),0j,(0.051385503201474475+9.523835063787118e-06j),0j,(0.019912415291905097+5.1825644894581385e-06j),0j,(0.006650582927723298+2.174424066416574e-06j),0j,(0.001951733623532488+7.554131722252961e-07j),0j,(0.0005108021097248758+2.2564670231376103e-07j),0j,(0.0001206349549176188+5.934704248881803e-08j),0j,(2.5956312514070896e-05+1.3973662738311077e-08j),0j,(5.128760591977045e-06+2.982287175838692e-09j),0j,(9.368906592197981e-07+5.825377694142896e-10j),0j,(1.5913141336087949e-07+1.0496132818062294e-10j),0j,(2.5255703116409372e-08+1.7557928615426374e-11j),0j,(3.761599191581178e-09+2.741723949708654e-12j),0j,(5.277692101570718e-10+4.0152096102517386e-13j),0j,(6.99901542070275e-11+5.53713660289837e-14j),0j,(8.799497315907798e-12+7.215994426535326e-15j),0j,(1.0516735627006084e-12+8.91465476292263e-16j),0j,(1.197752551710176e-13+1.0469496359943173e-16j),0j,(1.3028053775121433e-14+1.1717748251376418e-17j),0j,(1.356111160813107e-15+1.256364651042323e-18j),0j,(1.3542092628129835e-16+6.194038361061113e-20j),0j,(1.1593759479228794e-17+1.1274981809150404e-18j),0j,(2.2418175191473716e-17-1.7169928142001442e-17j),0j,(-2.9801008878297613e-16+2.4121144670018277e-16j),0j,(3.803711819497367e-15-3.0776799412481e-15j),0j,(-4.3854450296041263e-14+3.5484228118686654e-14j),0j,(4.539846839473969e-13-3.6733945721999136e-13j),0j,(-4.186492618465549e-12+3.3875155383186086e-12j),0j,(3.40495680235694e-11-2.755161372176463e-11j),0j,(-2.4114071162590793e-10+1.951238266057164e-10j),0j,(1.462200170076995e-09-1.1831798526894123e-09j),0j,(-7.4181842077258915e-09+6.002684495249708e-09j),0j,(3.045325011437205e-08-2.4642527855782813e-08j),0j,(-9.596700035506912e-08+7.765632872426397e-08j),0j,(2.1080707871987494e-07-1.705857906330853e-07j),0j,(-2.5367109748446645e-07+2.0527218342449537e-07j)
(0.04321551034545461-2.944604137725429e-05j),0j,(0.14790622239836246-6.179750224944783e-05j),0j,(0.20665638127044467-5.018932167598098e-05j),0j,(0.18261561957093245-1.9901296634054557e-05j),0j,(0.11811144366758661-6.747141085309358e-17j),0j,(0.06025843365863646+5.548421721166093e-06j),0j,(0.02538501319408221+4.363071342226679e-06j),0j,(0.009107261960164302+2.2069552151326022e-06j),0j,(0.0028453000356406955+8.690145083506474e-07j),0j,(0.0007872506509211945+2.8542497165255625e-07j),0j,(0.00019546399267143862+8.107454363303898e-08j),0j,(4.4014037871334645e-05+2.037273122863245e-08j),0j,(9.06707135433186e-06+4.600962761681644e-09j),0j,(1.7212963890449333e-06+9.449335827153866e-10j),0j,(3.0299817937068884e-07+1.7811692307648372e-10j),0j,(4.971937014257238e-08+3.104484370612607e-11j),0j,(7.64038040361294e-09+5.034173092350938e-12j),0j,(1.103986425805977e-09+7.634472382117184e-13j),0j,(1.5053019546793353e-10+1.0876233177972894e-13j),0j,(1.943014842333425e-11+1.461196300819775e-14j),0j,(2.380997628650325e-12+1.8575726285053617e-15j),0j,(2.777074473903813e-13+2.2412912523751824e-16j),0j,(3.0900968608361177e-14+2.5735572473115758e-17j),0j,(3.2872448135507857e-15+2.819044138384783e-18j),0j,(3.3497133575464293e-16+2.9524259596156176e-19j),0j,(3.275417689400898e-17+2.930423754428493e-20j),0j,(3.0819608856610956e-18+7.716121610506858e-21j),0j,(2.2837387455331336e-19-6.863268469756224e-20j),0j,(6.689403610779741e-19+8.858106078522385e-19j),0j,(-7.48437166569803e-18-1.0285364800913327e-17j),0j,(7.802479432158349e-17+1.0718057253540708e-16j),0j,(-7.240523204870332e-16-9.944653414949449e-16j),0j,(5.9233462414532334e-15+8.13426847104566e-15j),0j,(-4.2176777634631615e-14-5.790983132691102e-14j),0j,(2.5702134287015995e-13+3.5283427912534774e-13j),0j,(-1.3098655426853333e-12-1.7978160275462326e-12j),0j,(5.399121404817281e-12+7.408863871154377e-12j),0j,(-1.7074041541109796e-11-2.3424273487327745e-11j),0j,(3.7612262351678293e-11+5.1588045374121405e-11j),0j,(-4.534354891072999e-11-6.217398843051359e-11j),0j
0j,(0.06971809884385505-4.040926423323737e-05j),0j,(0.13776154168892746-5.118696969284101e-05j),0j,(0.14909587953382272-3.2794019901126684e-05j),0j,(0.1113502006208952-1.1111773952803526e-05j),0j,(0.06351455577211834-5.76368668755845e-17j),0j,(0.02931058585145782+2.5042340715160084e-06j),0j,(0.011358190790911257+1.819427412247686e-06j),0j,(0.003793552028682717+8.598178378206596e-07j),0j,(0.001113288747947447+3.1896392397499377e-07j),0j,(0.000291367272507074+9.934308436741866e-08j),0j,(6.881164752569505e-05+2.6898579286155777e-08j),0j,(1.4805817806567755e-05+6.470717333473865e-09j),0j,(2.925515329697845e-06+1.403984711093347e-09j),0j,(5.344158685934143e-07+2.7786960636835576e-10j),0j,(9.077093120974346e-08+5.060582878577513e-11j),0j,(1.4406242670301637e-08+8.541237743335875e-12j),0j,(2.1456759608298824e-09+1.343861469142502e-12j),0j,(3.010481690146286e-10+1.9808856491790593e-13j),0j,(3.992355312182102e-11+2.747188181013105e-14j),0j,(5.0193833937869635e-12+3.597933160158361e-15j),0j,(5.998928871953555e-13+4.464472503032355e-16j),0j,(6.832192456190766e-14+5.263762564963037e-17j),0j,(7.431436020675423e-15+5.9121729994478915e-18j),0j,(7.735505333741904e-16+6.3615915347637015e-19j),0j,(7.724659489854071e-17+2.728003458915839e-20j),0j,(6.613360368871846e-18+6.424385112273858e-19j),0j,(1.2786757936941802e-17-9.795122770009943e-18j),0j,(-1.6997640038733737e-16+1.3760558771788386e-16j),0j,(2.169525049716707e-15-1.7557454478897575e-15j),0j,(-2.5013249936850486e-14+2.0242929530163873e-14j),0j,(2.5893874637020393e-13-2.0955858987967322e-13j),0j,(-2.3878418500739288e-12+1.9324980009258443e-12j),0j,(1.942076032425453e-11-1.57175427965706e-11j),0j,(-1.3753858633619595e-10+1.1131347785837181e-10j),0j,(8.339888592312683e-10-6.749755394619156e-10j),0j,(-4.231072244044298e-09+3.4243850499140064e-09j),0j,(1.7369443117310345e-08-1.4057954200420793e-08j),0j,(-5.473606811903733e-08+4.4300997401883196e-08j),0j,(1.2023649812961078e-07-9.731488524045291e-08j),0j,(-1.4468436457983807e-07+1.1710253468368502e-07j)
